Tx Connected Solar Farm,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Scenario 1:,Sunny day,,,,Scenario 2:,Moderate Sunny Day,,,,Scenario 2:,Cloudy Day,,,,,
Description:,"July 18th, 2025. High P output values seen",,,,Description:,"Sept. 22nd, 2025. Moderate P output values",,,,Description:,"Jan 13th, 2025. Low P output values",,,,,
,,,,,,,,,,,,,,,,
Max MW:,478,,,,Max MW:,478,,,,Max MW:,478,,,,,
Hour of the day,Active Power output (MW),Active power  in p.u.,Corresponding Q (p.u.) available,,Hour of the day,Active Power output (MW),Active power  in p.u.,Corresponding Q (p.u.) available,,Hour of the day,Active Power output (MW),Active power  in p.u.,Corresponding Q (p.u.) available,,,
1,0,0.000,1.000,,1,0,0.000,1.000,,1,0,0.000,1.000,,,
2,0,0.000,1.000,,2,0,0.000,1.000,,2,0,0.000,1.000,,,
3,0,0.000,1.000,,3,0,0.000,1.000,,3,0,0.000,1.000,,,
4,0,0.000,1.000,,4,0,0.000,1.000,,4,0,0.000,1.000,,,
5,0,0.000,1.000,,5,0,0.000,1.000,,5,0,0.000,1.000,,,
6,5,0.010,1.000,,6,0,0.000,1.000,,6,0,0.000,1.000,,,
7,50,0.105,0.995,,7,4,0.008,1.000,,7,0,0.000,1.000,,,
8,160,0.335,0.942,,8,37,0.077,0.997,,8,0,0.000,1.000,,,
9,271,0.567,0.824,,9,86,0.180,0.984,,9,1,0.002,1.000,,,
10,358,0.749,0.663,,10,101,0.211,0.977,,10,8,0.017,1.000,,,
11,398,0.833,0.554,,11,120,0.251,0.968,,11,24,0.050,0.999,,,
12,407,0.851,0.524,,12,187,0.391,0.920,,12,36,0.075,0.997,,,
13,394,0.824,0.566,,13,181,0.379,0.926,,13,45,0.094,0.996,,,
14,402,0.841,0.541,,14,163,0.341,0.940,,14,36,0.075,0.997,,,
15,373,0.780,0.625,,15,125,0.262,0.965,,15,21,0.044,0.999,,,
16,316,0.661,0.750,,16,75,0.157,0.988,,16,11,0.023,1.000,,,
17,237,0.496,0.868,,17,40,0.084,0.996,,17,1,0.002,1.000,,,
18,121,0.253,0.967,,18,12,0.025,1.000,,18,0,0.000,1.000,,,
19,32,0.067,0.998,,19,0,0.000,1.000,,19,0,0.000,1.000,,,
20,6,0.013,1.000,,20,0,0.000,1.000,,20,0,0.000,1.000,,,
21,0,0.000,1.000,,21,0,0.000,1.000,,21,0,0.000,1.000,,,
22,0,0.000,1.000,,22,0,0.000,1.000,,22,0,0.000,1.000,,,
23,0,0.000,1.000,,23,0,0.000,1.000,,23,0,0.000,1.000,,,
24,0,0.000,1.000,,24,0,0.000,1.000,,24,0,0.000,1.000,,,
,,,,,,,,,,,,,,,take a couple sunny days,
,,,,,,,,,,,,,,,get an average,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
The breakdown of the Tx-connected solar plants in Ontario is as following:,,,,,The hourly P output data provided by IESO on Tx connected solar farms is for solar farms greater than 20MW capacity.,,,,,,,,,,,"BUT,  on this website: https://www.ieso.ca/localContent/ontarioenergymap/index.html"
,,,,,"Therefore, we could argue that the maximum P output in the reports should be no greater than 398 MW as seen below:",,,,,,,,,,,All the solar farms are seen on the map and the following description is given:
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,This table was built from data provided from the following link:,,,,,,
,,,,,,,,,,Contract Data and Reports,,,,,,
,,,,,,,,,,"Specifically, find the ""IESO Active Generation Contract List""",,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
This table was built from data provided from the following link:,,,,,,,,,,,,,,,,
Contract Data and Reports,,,,,,,,,,,,,,,,
"Specifically, find the ""IESO Active Generation Contract List""",,,,,,,,,,,,,,,,
,,,,,"To find where this 20MW threshold is specified, visit https://www.ieso.ca/Power-Data/Data-Directory",,,,,,,,,,,"So, conclusion is that installed capacity can be different than contract capacity"
,,,,,"Specifically, go to the section where it says ""Generator Output by Fuel Type Hourly Report""",,,,,,,,,,,"""Output Capacity"" is not specified as contract or installed"
,,,,,There are 6 Tx connected solar farms in Ontario with capacity >= 20 MW,,,,,,,,,,,We can also argue that all 478 MW is included in the reports
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Location of the Tx connected farms are:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Overlayed the ontario energy map and IESO zones map together,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
